,인허가일자,폐업일자,사업장명,도로명주소,Latitude,Longitude
213,2011-12-15,,(주)승휘연,서울특별시 강남구 언주로30길 57,37.4897104,127.0544907
214,2001-02-14,,버거킹 청담점,서울특별시 강남구 선릉로 812,37.5242828,127.0397565
215,2005-05-10,,스타벅스대치역점,서울특별시 강남구 남부순환로 2936,37.4933573,127.0619092
216,2008-05-30,,로뎀나무,서울특별시 강남구 압구정로36길 34,37.5262264,127.0313481
217,2005-05-26,,스타벅스포이점,서울특별시 강남구 논현로 88,37.4778182,127.0451456
218,2001-01-02,,롯데백화점 강남점 탄탈루스,서울특별시 강남구 도곡로 401,37.4970578,127.0535939
219,2013-07-05,,스타벅스커피 역삼포스코점,서울특별시 강남구 테헤란로 134,37.4994355,127.0335909
220,2021-04-02,,세븐일레븐 논현아이파크점,서울특별시 강남구 언주로 615,37.5105414,127.0359456
221,2008-06-19,,후식 선릉역점,서울특별시 강남구 테헤란로 지하,37.5041073,127.0475882
222,2004-12-08,,스타벅스 압구정미소점,서울특별시 강남구 논현로 841,37.5240574,127.0279161
223,2021-03-19,,아르켓(ARKET),서울특별시 강남구 가로수길 30,37.5198694,127.0232473
224,2021-03-19,,라젠커피(RAGEN COFFEE),서울특별시 강남구 언주로 615,37.5105414,127.0359456
225,2021-03-19,,크렘크럼블,서울특별시 강남구 도산대로17길 41,37.5212,127.0236464
226,2021-03-26,,드봉루아 로즈데일점,서울특별시 강남구 광평로 280,37.4873264,127.1031402
227,2021-04-05,,CU 대치은마동문점,서울특별시 강남구 영동대로 219,37.4983564,127.0682936
228,2021-04-05,,제주스gfc몰점,서울특별시 강남구 테헤란로 152,37.4998097,127.0366289
229,2021-03-30,,슈플라워&카페,서울특별시 강남구 삼성로75길 32,37.5030433,127.0556926
230,2021-03-18,,한솥도시락 삼성동점,서울특별시 강남구 삼성로96길 12,37.5087229,127.056951
231,2021-03-30,,(주)라포르엘 랜디스도넛 가로수길점,서울특별시 강남구 도산대로15길 16,37.5193159,127.0240096
232,2021-04-09,,강남51호지점,서울특별시 강남구 언주로113길 10,37.5095092,127.0364975
233,2021-03-10,,라미에뜨,서울특별시 강남구 삼성로71길 29,37.5015299,127.0565389
234,2020-10-27,,스타벅스 코엑스아셈타워점,서울특별시 강남구 영동대로 517,37.5125207,127.0588194
235,2020-11-13,,에센스커피 선릉점,서울특별시 강남구 선릉로93길 10,37.5055544,127.0475265
236,2021-06-01,,스타벅스 도산사거리점,서울특별시 강남구 언주로 727,37.519602,127.0340556
237,2020-09-11,,버거킹 신논현역점,서울특별시 강남구 봉은사로 105,37.5049962,127.025024
238,2021-06-03,,세븐일레븐 도곡시네마점,서울특별시 강남구 남부순환로 2747,37.4871611,127.0465645
239,2021-07-16,,스타벅스 센터필드R점,서울특별시 강남구 테헤란로 231,37.5032113,127.0414917
240,2021-07-05,,팔공티 대치역점,서울특별시 강남구 남부순환로 2936,37.4933573,127.0619092
241,2021-07-23,,스타벅스 삼성동점,서울특별시 강남구 영동대로96길 12,37.5107257,127.0635283
242,2020-08-06,,강남13호지점,서울특별시 강남구 언주로113길 10,37.5095092,127.0364975
243,2018-08-23,,스타벅스 압구정R점,서울특별시 강남구 언주로 861,37.5274105,127.0330945
244,2018-08-02,,헝그리덩키,서울특별시 강남구 압구정로 165,37.5273339,127.0274702
245,2018-08-23,,스타벅스 양재강남빌딩R점,서울특별시 강남구 남부순환로 2621,37.4853306,127.0366142
246,2020-05-18,,컴포즈커피 강남세곡점,서울특별시 강남구 헌릉로569길 13,37.4667949,127.1001606
247,2020-05-25,,주식회사 알란컴퍼니,서울특별시 강남구 선릉로145길 20,37.5211516,127.0386861
248,2020-05-26,,스타벅스 봉은사역점,서울특별시 강남구 봉은사로 619,37.5150389,127.0631304
249,2020-02-27,,서른커피,서울특별시 강남구 논현로168길 35,37.5234814,127.0312103
250,2022-01-05,,커피인류 개포점,서울특별시 강남구 영동대로 22,37.4909336,127.0751203
251,2011-09-06,,스타벅스 도산가로수길,서울특별시 강남구 도산대로 134,37.5173244,127.0234197
252,2014-03-06,,제이콥스레더(Jacob's Ladder),서울특별시 강남구 압구정로32길 11,37.5269161,127.0302159
253,2017-03-16,,스타벅스커피 강남구청정문점,서울특별시 강남구 학동로 419,37.5183507,127.0459641
254,2019-11-21,,모노카페 논현점,서울특별시 강남구 언주로134길 12,37.5164633,127.0365292
255,2019-11-25,,스타벅스 신사역성일빌딩점,서울특별시 강남구 강남대로 584,37.513958,127.0206632
256,2019-12-02,,미스터 버거,서울특별시 강남구 강남대로 지하,37.5061648,127.0257813
257,2019-09-03,,버거킹 강남도곡점,서울특별시 강남구 논현로 172,37.484876,127.0419247
258,2019-09-09,,호밀호두 선릉역점,서울특별시 강남구 테헤란로 지하,37.5041073,127.0475882
259,2019-07-26,,스타벅스 국기원사거리점,서울특별시 강남구 테헤란로 125,37.499615,127.0316758
260,2019-06-10,,크노커피 역삼점,서울특별시 강남구 테헤란로14길 13,37.4985274,127.0334825
261,2018-11-08,,스타벅스 논현역사거리점,서울특별시 강남구 강남대로 538,37.5102476,127.0223774
262,2018-11-08,,스타벅스 삼성역섬유센터R점,서울특별시 강남구 테헤란로 518,37.5074573,127.0606353
263,2019-06-03,,스타벅스 역삼아레나빌딩점,서울특별시 강남구 언주로 425,37.5011085,127.0428933
264,2019-02-11,,아마스빈강남2호점,서울특별시 강남구 강남대로94길 21,37.499745,127.0289618
